Star,Distance from the Sun,Mean radial deflection (arcsec)
2,3.25,0.84
10,2.62,0.74
13,1.52,1.30
17,3.20,0.73
19,2.42,0.78
20,2.76,0.83
22,5.06,0.70
24,2.76,0.75
25,2.86,0.88
26,3.53,0.78
28,4.42,0.42
30,4.21,0.54
33,5.89,0.51
34,4.04,0.48
35,5.08,0.50
36,6.42,0.26
37,7.54,0.42
40,5.89,0.60
